Cell_ID,Laser_Weld_Power_kW,Weld_Time_ms,Internal_Resistance_mOhm,Jelly_Roll_Alignment_Error_mm,Is_Scrap
0,13.181223656710252,275.10566170290144,5.644968414779159,0.0510372414658174,0
1,14.768315310341688,241.1406216567747,5.482254040800881,0.0313649641815821,0
2,14.248787732812582,217.6327248509868,5.079144720652799,0.0656439866641545,0
3,14.649487459334964,245.80858567890476,5.516698362847381,0.0304923376067011,0
4,16.084670290311294,268.3464296139582,5.735985077512931,0.058977568698903,0
5,16.854839386663176,263.3026999352911,4.686048587247752,0.053128027943758,0
6,12.707315260423664,225.59779428654176,5.295434898845021,0.0314466769126849,0
7,15.63842137764299,257.44081135648656,5.821752152779509,0.084582886352766,0
8,14.76205155686711,250.2362590585257,5.642644864151896,0.0726834879235062,0
9,14.040824017028823,233.96455241449087,4.71495032923184,0.034666676291004,0
10,20.04020263161198,258.56284379289593,5.80806182294889,0.0096442424864225,0
11,13.13387976022143,256.1542803887151,5.073163659911259,0.0517277485609055,0
12,11.284346127942538,251.38164179162345,4.689967751970825,0.0787232885391379,0
13,12.69378180756655,237.81184575856292,5.356729041290574,0.0588734031779616,0
14,14.817434541347508,238.50388952888417,5.682280872899023,0.0482879172793615,0
15,13.782840754054678,235.05975054410305,5.631591239696286,0.0512084646013901,0
16,15.925705398270624,223.9296066039623,5.638021911795573,0.0294684585858852,0
17,14.192947143071796,256.34656970520257,5.455637016877369,0.0285081420619446,0
18,10.95498283574216,226.57050725646027,5.12710798022305,0.0468212949622205,0
19,11.450542836032715,270.42555716547986,5.739801762107381,0.0353243056728032,0
20,14.295226219151944,251.16252691094343,6.103942317699663,0.0829779848753786,0
21,16.35789762555828,254.230022594004,5.9334047419757,0.0454672872297298,0
22,15.854815878287884,276.8035212808411,4.388027534641673,0.0689474032070856,0
23,12.212248322725362,248.81696517127963,5.057674642967531,0.068235263652534,0
24,10.899534324760598,262.6489057868555,5.088913682641116,0.0599025668784119,0
25,15.67787836832527,280.9137557394211,5.155547013898755,0.0772203585708338,0
26,14.543250621965363,254.5796164196341,5.216078080338257,0.0763376498708774,0
27,16.14168639967527,234.67806572028925,5.437705338871548,0.0846392665470477,0
28,13.415221970198896,231.79872663520945,5.724506392559069,0.0489148103521966,0
